mpg,cyl,displ,hp,weight,accel,yr,origin,name
18.0,8,307.0,130,3504,12.0,70,US,chevrolet chevelle malibu
15.0,8,350.0,165,3693,11.5,70,US,buick skylark 320
18.0,8,318.0,150,3436,11.0,70,US,plymouth satellite
16.0,8,304.0,150,3433,12.0,70,US,amc rebel sst
17.0,8,302.0,140,3449,10.5,70,US,ford torino
15.0,8,429.0,198,4341,10.0,70,US,ford galaxie 500
14.0,8,454.0,220,4354,9.0,70,US,chevrolet impala
14.0,8,440.0,215,4312,8.5,70,US,plymouth fury iii
14.0,8,455.0,225,4425,10.0,70,US,pontiac catalina
15.0,8,390.0,190,3850,8.5,70,US,amc ambassador dpl
15.0,8,383.0,170,3563,10.0,70,US,dodge challenger se
14.0,8,340.0,160,3609,8.0,70,US,plymouth 'cuda 340
15.0,8,400.0,150,3761,9.5,70,US,chevrolet monte carlo
14.0,8,455.0,225,3086,10.0,70,US,buick estate wagon (sw)
24.0,4,113.0,95,2372,15.0,70,Asia,toyota corona mark ii
22.0,6,198.0,95,2833,15.5,70,US,plymouth duster
18.0,6,199.0,97,2774,15.5,70,US,amc hornet
21.0,6,200.0,85,2587,16.0,70,US,ford maverick
27.0,4,97.0,88,2130,14.5,70,Asia,datsun pl510
26.0,4,97.0,46,1835,20.5,70,Europe,volkswagen 1131 deluxe sedan
25.0,4,110.0,87,2672,17.5,70,Europe,peugeot 504
24.0,4,107.0,90,2430,14.5,70,Europe,audi 100 ls
25.0,4,104.0,95,2375,17.5,70,Europe,saab 99e
26.0,4,121.0,113,2234,12.5,70,Europe,bmw 2002
21.0,6,199.0,90,2648,15.0,70,US,amc gremlin
10.0,8,360.0,215,4615,14.0,70,US,ford f250
10.0,8,307.0,200,4376,15.0,70,US,chevy c20
11.0,8,318.0,210,4382,13.5,70,US,dodge d200
